-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id                             Marker lineage            # genomes   # markers   # marker sets   Completeness   Contamination   Strain heterogeneity   Genome size (bp)   # ambiguous bases   # scaffolds   # contigs   N50 (scaffolds)   N50 (contigs)   Mean scaffold length (bp)   Mean contig length (bp)   Longest scaffold (bp)   Longest contig (bp)     GC    GC std (scaffolds > 1kbp)   Coding density   Translation table   # predicted genes    0     1     2    3    4    5+  
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  metabat.232.contigs             k__Bacteria (UID203)            5449        104            58           100.00           9.47               5.00               9307443                0               1132         1132          20543            20543                  8222                       8222                    216058                 216058         46.52              8.26                 82.06                11                 8418          0     84    20   0    0    0   
  metabat.75_sub.contigs        o__Rhizobiales (UID3447)          356         416           249           99.40           41.78              42.62               5680292                0               596          596           32217            32217                  9530                       9530                    189053                 189053         51.40              1.72                 90.40                11                 5930          2    243   165   6    0    0   
  metabat.114.contigs            k__Bacteria (UID2495)            2993        147            91           98.90            5.49               0.00               3136783                0               159          159           38034            38034                 19728                      19728                    194998                 194998         66.50              1.45                 92.97                11                 3003          1    142    3    1    0    0   
  metabat.369.contigs       c__Alphaproteobacteria (UID3305)      564         349           230           98.84            1.61              33.33               4827758                0               451          451           16342            16342                 10704                      10704                    64488                  64488          54.62              1.69                 87.96                11                 4976          4    339    6    0    0    0   
  76_sub.contigs                 k__Bacteria (UID3187)            2258        188           117           98.19           13.08              38.10               8669294                0               824          824           12700            12700                 10520                      10520                    101887                 101887         57.41              2.04                 86.77                11                 9035          4    165    18   1    0    0   
  metabat.306.contigs            k__Bacteria (UID3187)            2258        187           116           98.17            3.62               0.00               3723031                0               208          208           34731            34731                 17899                      17899                    162607                 162607         49.82              2.12                 84.86                11                 3552          4    177    5    1    0    0   
  metabat.99_sub.contigs          k__Bacteria (UID203)            5449        104            58           98.12           20.27              15.15               8426668                0               1181         1181           9216             9216                  7135                       7135                    44101                  44101          63.07              2.24                 87.78                11                 8603          2     73    27   2    0    0   
  metabat.31.contigs        c__Deltaproteobacteria (UID3216)       83         247           155           97.92            5.23              25.00               4771452                0               533          533           13060            13060                  8952                       8952                    68135                  68135          41.72              2.66                 83.88                11                 4744          7    224    16   0    0    0   
  metabat.330.contigs       c__Alphaproteobacteria (UID3337)      468         388           250           97.90            1.20              50.00               4721925                0               138          138           87255            87255                 34216                      34216                    369755                 369755         63.05              3.17                 88.90                11                 4611          8    376    4    0    0    0   
  metabat.364_sub.contigs       o__Rhizobiales (UID3449)          345         431           258           97.60            4.60              61.29               3704915                0               250          250           25120            25120                 14819                      14819                    95083                  95083          52.17              1.58                 90.02                11                 3796          9    391    31   0    0    0   
